Name,Finish,Lam,N Lams,b,d,A,Ix,Sx,rx,Iy,Sy,ry,Volume 
DF 130x1102,Industrial,Single,29,130,1102,143260,14497959753,26312087,318,201757833,3103967,37.52776747,143260
DF 130x1140,Industrial,Single,30,130,1140,148200,16050060000,28158000,329,208715000,3211000,37.5277675,148200
DF 130x1178,Industrial,Single,31,130,1178,153140,17709160647,30066487,340,215672167,3318033,37.52776753,153140
DF 130x1216,Industrial,Single,32,130,1216,158080,19478828373,32037547,351,222629333,3425067,37.52776747,158080
DF 130x1254,Industrial,Single,33,130,1254,163020,21362629860,34071180,362,229586500,3532100,37.5277675,163020
DF 130x1292,Industrial,Single,34,130,1292,167960,23364131787,36167387,373,236543667,3639133,37.52776752,167960
DF 130x1330,Industrial,Single,35,130,1330,172900,25486900833,38326167,384,243500833,3746167,37.52776747,172900
DF 130x1368,Industrial,Single,36,130,1368,177840,27734503680,40547520,395,250458000,3853200,37.5277675,177840
DF 130x1406,Industrial,Single,37,130,1406,182780,30110507007,42831447,406,257415167,3960233,37.52776752,182780
DF 130x1444,Industrial,Single,38,130,1444,187720,32618477493,45177947,417,264372333,4067267,37.52776747,187720
DF 130x1482,Industrial,Single,39,130,1482,192660,35261981820,47587020,428,271329500,4174300,37.5277675,192660
DF 130x1520,Industrial,Single,40,130,1520,197600,38044586667,50058667,439,278286667,4281333,37.52776752,197600
DF 130x1558,Industrial,Single,41,130,1558,202540,40969858713,52592887,450,285243833,4388367,37.52776748,202540
DF 175x190,Industrial,Single,5,175,190,33250,100027083,1052917,55,84856771,969792,50.5181486,33250
DF 175x228,Industrial,Single,6,175,228,39900,172846800,1516200,66,101828125,1163750,50.51814855,39900
DF 175x266,Industrial,Single,7,175,266,46550,274474317,2063717,77,118799479,1357708,50.51814852,46550
DF 175x304,Industrial,Single,8,175,304,53200,409710933,2695467,88,135770833,1551667,50.51814849,53200
DF 175x342,Industrial,Single,9,175,342,59850,583357950,3411450,99,152742188,1745625,50.51814864,59850
DF 175x380,Industrial,Single,10,175,380,66500,800216667,4211667,110,169713542,1939583,50.5181486,66500
DF 175x418,Industrial,Single,11,175,418,73150,1065088383,5096117,121,186684896,2133542,50.51814858,73150
DF 175x456,Industrial,Single,12,175,456,79800,1382774400,6064800,132,203656250,2327500,50.51814855,79800
DF 175x494,Industrial,Single,13,175,494,86450,1758076017,7117717,143,220627604,2521458,50.51814854,86450
DF 175x532,Industrial,Single,14,175,532,93100,2195794533,8254867,154,237598958,2715417,50.51814852,93100
DF 175x570,Industrial,Single,15,175,570,99750,2700731250,9476250,165,254570313,2909375,50.5181486,99750
DF 175x608,Industrial,Single,16,175,608,106400,3277687467,10781867,176,271541667,3103333,50.51814859,106400
DF 175x646,Industrial,Single,17,175,646,113050,3931464483,12171717,186,288513021,3297292,50.51814857,113050
DF 175x684,Industrial,Single,18,175,684,119700,4666863600,13645800,197,305484375,3491250,50.51814855,119700
