Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS127X76.2X4.8,HSS127X76.2X4.8,14,1660,127,114,,76.2,63,4.76,4.42,14.2,25.7,,3.55,69,55.9,46.2,1.6,48.5,42.1,31,3600,77.5
HSS,HSS127X76.2X3.2,HSS127X76.2X3.2,9.59,1140,127,118,,76.2,67.3,3.18,2.95,22.9,40.1,,2.51,48,39.5,47,1.14,33.9,30,31.8,2510,53.4
HSS,HSS127X63.5X6.4,HSS127X63.5X6.4,16.9,2030,127,109,,63.5,45.7,6.35,5.92,7.73,18.5,,3.91,79.1,61.6,43.9,1.3,48.3,41,25.4,3300,81.8
HSS,HSS127X63.5X4.8,HSS127X63.5X4.8,13.1,1550,127,114,,63.5,50.3,4.76,4.42,11.4,25.7,,3.13,62.1,49.3,45,1.05,38.2,33.3,25.9,2610,63.7
HSS,HSS127X63.5X3.2,HSS127X63.5X3.2,8.96,1060,127,118,,63.5,54.6,3.18,2.95,18.6,40.1,,2.22,43.4,35.1,45.7,0.758,26.9,23.9,26.7,1830,44.2
HSS,HSS127X50.8X9.5,HSS127X50.8X9.5,21.8,2640,127,100,,50.8,24.2,9.53,8.86,2.73,11.3,,4.33,93.6,67.8,40.4,0.949,47.2,37.4,19,2750,85.2
HSS,HSS127X50.8X7.9,HSS127X50.8X7.9,18.8,2270,127,105,,50.8,28.7,7.94,7.39,3.87,14.2,,3.89,82.8,61.3,41.4,0.874,42.1,34.4,19.6,2490,75.2
HSS,HSS127X50.8X6.4,HSS127X50.8X6.4,15.6,1880,127,109,,50.8,33,6.35,5.92,5.58,18.5,,3.36,70,52.9,42.4,0.766,36.1,30.2,20.2,2150,63.6
HSS,HSS127X50.8X4.8,HSS127X50.8X4.8,12.1,1450,127,114,,50.8,37.6,4.76,4.42,8.49,25.7,,2.71,55.2,42.6,43.2,0.629,28.7,24.7,20.9,1730,50
HSS,HSS127X50.8X3.2,HSS127X50.8X3.2,8.33,994,127,118,,50.8,41.9,3.18,2.95,14.2,40.1,,1.94,38.8,30.5,44.2,0.458,20.3,18,21.5,1230,34.9
HSS,HSS114.3X114.3X12.7,HSS114.3X114.3X12.7,37.1,4480,114,78.7,,114,78.7,12.7,11.8,6.68,6.68,,7.53,167,132,40.9,7.53,167,132,40.9,13000,243
HSS,HSS114.3X114.3X9.5,HSS114.3X114.3X9.5,29.4,3540,114,87.6,,114,87.6,9.53,8.86,9.89,9.89,,6.37,137,111,42.4,6.37,137,111,42.4,10700,195
HSS,HSS114.3X114.3X7.9,HSS114.3X114.3X7.9,25.2,3020,114,92.2,,114,92.2,7.94,7.39,12.5,12.5,,5.62,119,98.3,43.2,5.62,119,98.3,43.2,9280,167
HSS,HSS114.3X114.3X6.4,HSS114.3X114.3X6.4,20.7,2480,114,96.5,,114,96.5,6.35,5.92,16.3,16.3,,4.75,99.3,83.2,43.9,4.75,99.3,83.2,43.9,7700,138
HSS,HSS114.3X114.3X4.8,HSS114.3X114.3X4.8,15.9,1890,114,101,,114,101,4.76,4.42,22.9,22.9,,3.75,77.2,65.7,44.5,3.75,77.2,65.7,44.5,5990,106
HSS,HSS114.3X114.3X3.2,HSS114.3X114.3X3.2,10.9,1290,114,105,,114,105,3.18,2.95,35.8,35.8,,2.64,53.6,46.2,45.2,2.64,53.6,46.2,45.2,4130,72.9
HSS,HSS101.6X101.6X12.7,HSS101.6X101.6X12.7,32,3880,102,66,,102,66,12.7,11.8,5.6,5.6,,4.95,126,97.8,35.8,4.95,126,97.8,35.8,8740,184
HSS,HSS101.6X101.6X9.5,HSS101.6X101.6X9.5,25.6,3080,102,74.9,,102,74.9,9.53,8.86,8.46,8.46,,4.29,105,84.1,37.3,4.29,105,84.1,37.3,7280,150
HSS,HSS101.6X101.6X7.9,HSS101.6X101.6X7.9,22,2650,102,79.5,,102,79.5,7.94,7.39,10.7,10.7,,3.8,91.6,74.9,37.8,3.8,91.6,74.9,37.8,6370,130
HSS,HSS101.6X101.6X6.4,HSS101.6X101.6X6.4,18.1,2170,102,83.8,,102,83.8,6.35,5.92,14.2,14.2,,3.25,76.9,63.9,38.6,3.25,76.9,63.9,38.6,5330,107
HSS,HSS101.6X101.6X4.8,HSS101.6X101.6X4.8,14,1660,102,88.4,,102,88.4,4.76,4.42,20,20,,2.58,60.1,50.8,39.4,2.58,60.1,50.8,39.4,4160,83.1
HSS,HSS101.6X101.6X3.2,HSS101.6X101.6X3.2,9.59,1140,102,92.7,,102,92.7,3.18,2.95,31.5,31.5,,1.83,42,36.1,40.1,1.83,42,36.1,40.1,2880,57.2
HSS,HSS101.6X76.2X9.5,HSS101.6X76.2X9.5,21.8,2640,102,74.9,,76.2,49.5,9.53,8.86,5.6,8.46,,3.3,83.9,65.1,35.3,2.09,68.5,54.7,28.2,4410,108
HSS,HSS101.6X76.2X7.9,HSS101.6X76.2X7.9,18.8,2270,102,79.5,,76.2,54.1,7.94,7.39,7.31,10.7,,2.97,73.9,58.5,36.1,1.88,60.5,49.5,28.7,3920,94.2
HSS,HSS101.6X76.2X6.4,HSS101.6X76.2X6.4,15.6,1880,102,83.8,,76.2,58.4,6.35,5.92,9.88,14.2,,2.56,62.4,50.3,36.8,1.63,51.1,42.8,29.5,3310,78.8
HSS,HSS101.6X76.2X4.8,HSS101.6X76.2X4.8,12.1,1450,102,88.4,,76.2,63,4.76,4.42,14.2,20,,2.05,49.2,40.5,37.8,1.32,40.3,34.4,30.2,2610,61.3
HSS,HSS101.6X76.2X3.2,HSS101.6X76.2X3.2,8.33,994,102,92.7,,76.2,67.3,3.18,2.95,22.9,31.5,,1.47,34.6,28.8,38.6,0.945,28.3,24.7,30.7,1820,42.4
HSS,HSS101.6X63.5X6.4,HSS101.6X63.5X6.4,14.3,1720,102,83.8,,63.5,45.7,6.35,5.92,7.73,14.2,,2.21,55.4,43.6,35.8,1.05,39.8,33.1,24.7,2410,64.4
HSS,HSS101.6X63.5X4.8,HSS101.6X63.5X4.8,11.2,1330,102,88.4,,63.5,50.3,4.76,4.42,11.4,20,,1.79,43.8,35.2,36.6,0.857,31.6,27,25.4,1910,50.5
HSS,HSS101.6X63.5X3.2,HSS101.6X63.5X3.2,7.7,916,102,92.7,,63.5,54.6,3.18,2.95,18.6,31.5,,1.29,30.8,25.2,37.3,0.62,22.3,19.5,26.2,1340,35.1
HSS,HSS101.6X50.8X9.5,HSS101.6X50.8X9.5,18,2190,102,74.9,,50.8,24.2,9.53,8.86,2.73,8.46,,2.33,62.9,45.9,32.8,0.749,37.9,29.5,18.5,2010,66.2
