type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
HSS,HSS457.2X203.2X7.9,HSS457.2X203.2X7.9,79,9420,457,434,,203,181,7.95,7.39,24.5,58.9,,251000000,1370000,1100000,164,71600000,778000,705000,87.4,180000000,1.3E+15
HSS,HSS457.2X203.2X6.4,HSS457.2X203.2X6.4,63.8,7610,457,439,,203,185,6.35,5.92,31.3,74.3,,205000000,1110000,896000,164,58700000,633000,577000,87.9,146000000,1.05E+15
HSS,HSS457.2X152.4X19.0,HSS457.2X152.4X19.0,164,19500,457,404,,152,99.3,19.1,17.7,5.6,22.8,,441000000,2590000,1930000,150,74500000,1150000,977000,61.7,221000000,2.08E+15
HSS,HSS457.2X152.4X15.9,HSS457.2X152.4X15.9,139,16600,457,414,,152,108,15.9,14.8,7.33,28,,384000000,2210000,1690000,152,65800000,1000000,864000,63,192000000,1.79E+15
HSS,HSS457.2X152.4X12.7,HSS457.2X152.4X12.7,113,13500,457,422,,152,117,12.7,11.8,9.9,35.7,,320000000,1840000,1400000,154,55800000,831000,731000,64.3,161000000,1.47E+15
HSS,HSS457.2X152.4X9.5,HSS457.2X152.4X9.5,86.4,10300,457,432,,152,126,9.53,8.86,14.2,48.6,,251000000,1420000,1100000,156,44100000,647000,582000,65.5,126000000,1.14E+15
HSS,HSS457.2X152.4X7.9,HSS457.2X152.4X7.9,72.7,8650,457,434,,152,130,7.94,7.39,17.6,58.9,,214000000,1200000,934000,157,38000000,549000,498000,66.3,107000000,9.62E+14
HSS,HSS457.2X152.4X6.4,HSS457.2X152.4X6.4,58.7,6970,457,439,,152,135,6.35,5.92,22.8,74.3,,174000000,973000,762000,158,31300000,447000,410000,66.8,87400000,7.82E+14
HSS,HSS406.4X406.4X25.4,HSS406.4X406.4X25.4,291,34700,406,335,,406,335,25.4,23.6,14.2,14.2,,828000000,4920000,4080000,155,828000000,4920000,4080000,155,1360000000,6.87E+15
HSS,HSS406.4X406.4X22.2,HSS406.4X406.4X22.2,258,30800,406,345,,406,345,22.2,20.7,16.7,16.7,,749000000,4390000,3690000,156,749000000,4390000,3690000,156,1220000000,6.11E+15
HSS,HSS406.4X406.4X19.0,HSS406.4X406.4X19.0,224,26800,406,353,,406,353,19.1,17.7,19.9,19.9,,662000000,3850000,3260000,157,662000000,3850000,3260000,157,1070000000,5.34E+15
HSS,HSS406.4X406.4X15.9,HSS406.4X406.4X15.9,189,22600,406,363,,406,363,15.9,14.8,24.5,24.5,,570000000,3280000,2800000,159,570000000,3280000,2800000,159,903000000,4.52E+15
HSS,HSS406.4X406.4X12.7,HSS406.4X406.4X12.7,153,18300,406,371,,406,371,12.7,11.8,31.4,31.4,,470000000,2690000,2310000,160,470000000,2690000,2310000,160,737000000,3.67E+15
HSS,HSS406.4X406.4X9.5,HSS406.4X406.4X9.5,117,13900,406,381,,406,381,9.53,8.86,42.8,42.8,,363000000,2060000,1790000,162,363000000,2060000,1790000,162,562000000,2.8E+15
HSS,HSS406.4X406.4X7.9,HSS406.4X406.4X7.9,97.9,11700,406,384,,406,384,7.94,7.39,52,52,,308000000,1740000,1510000,162,308000000,1740000,1510000,162,475000000,2.36E+15
HSS,HSS406.4X406.4X6.4,HSS406.4X406.4X6.4,78.9,9420,406,389,,406,389,6.35,5.92,65.7,65.7,,250000000,1410000,1230000,163,250000000,1410000,1230000,163,383000000,1.9E+15
HSS,HSS406.4X304.8X25.4,HSS406.4X304.8X25.4,250,29900,406,335,,305,234,25.4,23.6,9.9,14.2,,653000000,4000000,3210000,148,416000000,3280000,2740000,118,845000000,5.03E+15
HSS,HSS406.4X304.8X22.2,HSS406.4X304.8X22.2,223,26600,406,345,,305,243,22.2,20.7,11.7,16.7,,595000000,3590000,2920000,149,379000000,2930000,2490000,119,762000000,4.49E+15
HSS,HSS406.4X304.8X19.0,HSS406.4X304.8X19.0,194,23200,406,353,,305,252,19.1,17.7,14.2,19.9,,529000000,3160000,2610000,151,337000000,2590000,2210000,121,670000000,3.93E+15
HSS,HSS406.4X304.8X15.9,HSS406.4X304.8X15.9,164,19500,406,363,,305,262,15.9,14.8,17.7,24.5,,454000000,2700000,2230000,152,291000000,2210000,1920000,122,570000000,3.34E+15
HSS,HSS406.4X304.8X12.7,HSS406.4X304.8X12.7,133,15900,406,371,,305,269,12.7,11.8,22.8,31.4,,376000000,2210000,1850000,154,242000000,1820000,1590000,123,466000000,2.72E+15
HSS,HSS406.4X304.8X9.5,HSS406.4X304.8X9.5,102,12100,406,381,,305,279,9.53,8.86,31.4,42.8,,292000000,1700000,1440000,155,188000000,1400000,1230000,125,359000000,2.08E+15
HSS,HSS406.4X304.8X7.9,HSS406.4X304.8X7.9,85.4,10100,406,384,,305,282,7.94,7.39,38.2,52,,248000000,1440000,1220000,156,160000000,1180000,1050000,125,303000000,1.75E+15
HSS,HSS406.4X254X15.9,HSS406.4X254X15.9,152,18100,406,363,,254,210,15.9,14.8,14.2,24.5,,397000000,2410000,1950000,148,191000000,1740000,1500000,103,420000000,2.75E+15
HSS,HSS406.4X254X12.7,HSS406.4X254X12.7,123,14700,406,371,,254,219,12.7,11.8,18.5,31.4,,330000000,1980000,1620000,150,159000000,1430000,1260000,104,345000000,2.25E+15
HSS,HSS406.4X254X9.5,HSS406.4X254X9.5,94.1,11200,406,381,,254,227,9.53,8.86,25.7,42.8,,256000000,1520000,1260000,151,124000000,1100000,982000,105,266000000,1.72E+15
HSS,HSS406.4X254X7.9,HSS406.4X254X7.9,79,9420,406,384,,254,232,7.95,7.39,31.4,52,,218000000,1290000,1070000,152,106000000,934000,834000,106,224000000,1.45E+15
HSS,HSS406.4X254X6.4,HSS406.4X254X6.4,63.8,7610,406,389,,254,236,6.35,5.92,39.9,65.7,,177000000,1040000,873000,153,86600000,759000,682000,107,182000000,1.17E+15
HSS,HSS406.4X203.2X22.2,HSS406.4X203.2X22.2,187,22400,406,345,,203,141,22.2,20.7,6.83,16.7,,437000000,2790000,2150000,140,145000000,1700000,1430000,80.5,370000000,2.88E+15
HSS,HSS406.4X203.2X19.0,HSS406.4X203.2X19.0,164,19500,406,353,,203,150,19.1,17.7,8.46,19.9,,391000000,2460000,1920000,141,131000000,1510000,1280000,81.8,329000000,2.54E+15
HSS,HSS406.4X203.2X15.9,HSS406.4X203.2X15.9,139,16600,406,363,,203,159,15.9,14.8,10.8,24.5,,339000000,2110000,1670000,143,114000000,1300000,1120000,83.1,283000000,2.16E+15
HSS,HSS406.4X203.2X12.7,HSS406.4X203.2X12.7,113,13500,406,371,,203,168,12.7,11.8,14.2,31.4,,283000000,1740000,1390000,145,95700000,1070000,944000,84.3,234000000,1.77E+15
HSS,HSS406.4X203.2X9.5,HSS406.4X203.2X9.5,86.4,10300,406,381,,203,177,9.53,8.86,19.9,42.8,,221000000,1350000,1090000,147,75300000,832000,742000,85.6,181000000,1.37E+15
HSS,HSS406.4X203.2X7.9,HSS406.4X203.2X7.9,72.7,8650,406,384,,203,181,7.94,7.39,24.5,52,,188000000,1140000,924000,147,64500000,705000,634000,86.4,154000000,1.15E+15
HSS,HSS406.4X203.2X6.4,HSS406.4X203.2X6.4,58.7,6970,406,389,,203,185,6.35,5.92,31.3,65.7,,153000000,924000,755000,148,52900000,574000,519000,86.9,125000000,9.34E+14
HSS,HSS406.4X152.4X15.9,HSS406.4X152.4X15.9,126,15000,406,363,,152,108,15.9,14.8,7.33,24.5,,282000000,1820000,1390000,137,58700000,896000,769000,62.5,166000000,1.58E+15
HSS,HSS406.4X152.4X12.7,HSS406.4X152.4X12.7,103,12300,406,371,,152,117,12.7,11.8,9.9,31.4,,236000000,1500000,1160000,139,49900000,746000,654000,63.8,139000000,1.3E+15
HSS,HSS406.4X152.4X9.5,HSS406.4X152.4X9.5,78.9,9420,406,381,,152,126,9.53,8.86,14.2,42.8,,185000000,1170000,911000,140,39700000,582000,521000,65,108000000,1.01E+15
HSS,HSS406.4X152.4X7.9,HSS406.4X152.4X7.9,66.4,7870,406,384,,152,130,7.95,7.39,17.6,52,,158000000,988000,777000,141,34000000,495000,447000,65.5,92400000,8.54E+14
HSS,HSS406.4X152.4X6.4,HSS406.4X152.4X6.4,53.6,6390,406,389,,152,135,6.35,5.92,22.8,65.7,,129000000,803000,636000,142,28100000,405000,369000,66.3,75300000,6.93E+14
HSS,HSS406.4X152.4X4.8,HSS406.4X152.4X4.8,40.6,4810,406,394,,152,139,4.78,4.42,31.5,89,,98600000,610000,485000,143,21600000,308000,283000,67.1,57400000,5.26E+14
HSS,HSS406.4X101.6X15.9,HSS406.4X101.6X15.9,113,13500,406,363,,102,57.4,15.9,14.8,3.88,24.5,,224000000,1520000,1100000,129,22500000,533000,442000,40.6,72400000,9.91E+14
HSS,HSS406.4X101.6X12.7,HSS406.4X101.6X12.7,92.7,11100,406,371,,102,66,12.7,11.8,5.6,31.4,,189000000,1270000,932000,131,19600000,449000,385000,41.9,62400000,8.31E+14
HSS,HSS406.4X101.6X9.5,HSS406.4X101.6X9.5,71.2,8520,406,381,,102,74.9,9.53,8.86,8.46,42.8,,150000000,987000,737000,133,15900000,356000,313000,43.4,49900000,6.51E+14
HSS,HSS406.4X101.6X7.9,HSS406.4X101.6X7.9,60,7160,406,384,,102,79.5,7.94,7.39,10.7,52,,128000000,837000,631000,134,13800000,303000,272000,43.9,42900000,5.54E+14
HSS,HSS406.4X101.6X6.4,HSS406.4X101.6X6.4,48.6,5780,406,389,,102,83.8,6.35,5.92,14.2,65.7,,105000000,683000,518000,135,11500000,249000,226000,44.7,35500000,4.52E+14
HSS,HSS406.4X101.6X4.8,HSS406.4X101.6X4.8,36.7,4360,406,394,,102,88.4,4.76,4.42,20,89,,80300000,519000,397000,136,8950000,192000,177000,45.2,27300000,3.46E+14
