type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W,W920X970,W920X970,T,970,124000,1040,1040,447,448,50,50.8,25.4,89.9,90.5,114,122,55.6,2.48,16.3,21100000000,47700000,40300000,411,1340000000,9520000,6010000,104,247000000,3.03E+14,106000,1070000000,8490000,23800000,126,955,3280,3730,2530,2970,797,191,76.2
W,W920X787,W920X787,T,787,101000,1010,1010,437,438,40.9,41.3,20.6,73.9,74.6,98,106,50.8,2.96,19.9,16500000000,38200000,32600000,406,1040000000,7440000,4740000,102,136000000,2.27E+14,103000,828000000,6870000,19000000,122,937,3230,3660,2460,2900,797,191,76.2
W,W920X725,W920X725,T,725,92300,998,1000,434,435,38.1,38.1,19,68.1,68.3,92.2,102,47.6,3.19,21.4,15000000000,34900000,30000000,401,937000000,6750000,4310000,101,107000000,2.02E+14,101000,749000000,6280000,17400000,120,930,3180,3610,2430,2870,797,191,76.2
W,W920X656,W920X656,T,656,83900,988,987,432,432,34.5,34.9,17.5,62,61.9,86.1,95.3,47.6,3.48,23.6,13400000000,31300000,27000000,399,828000000,6030000,3850000,99.6,80700000,1.78E+14,99400,666000000,5690000,15600000,119,927,3150,3580,2410,2840,797,191,76.2
W,W920X588,W920X588,T,588,74800,975,975,427,429,31,31.8,15.9,55.9,55.6,80,87.3,46,3.83,26.3,11900000000,28000000,24400000,399,728000000,5330000,3410000,98.6,59100000,1.54E+14,98100,587000000,5100000,13900000,117,919,3120,3560,2380,2790,797,191,76.2
W,W920X537,W920X537,T,537,68400,965,965,424,425,28.4,28.6,14.3,51.1,50.8,75.2,84.1,44.5,4.16,28.6,10700000000,25400000,22100000,396,653000000,4800000,3080000,97.8,45400000,1.37E+14,96800,529000000,4620000,12600000,116,914,3100,3530,2350,2770,797,191,76.2
W,W920X491,W920X491,F,491,62500,958,956,422,422,25.9,25.4,12.7,47,47.6,71.1,79.4,44.5,4.49,31.4,9700000000,23100000,20300000,394,591000000,4340000,2800000,97.3,35100000,1.22E+14,96100,479000000,4240000,11400000,115,912,3070,3510,2340,2770,797,191,76.2
W,W920X449,W920X449,F,449,57400,947,949,424,422,24,23.8,12.7,42.7,42.9,66.8,76.2,42.9,4.96,33.9,8780000000,21000000,18500000,391,541000000,3950000,2560000,97,26800000,1.11E+14,95500,433000000,3850000,10400000,115,904,3070,3510,2320,2740,797,191,76.2
W,W920X420,W920X420,F,420,53500,942,943,422,422,22.5,22.2,11.1,39.9,39.7,64,73,41.3,5.29,36.2,8160000000,19500000,17200000,391,499000000,3650000,2360000,96.5,21900000,1.02E+14,94800,400000000,3590000,9680000,114,902,3050,3480,2310,2720,797,191,76.2
W,W920X390,W920X390,F,390,49800,937,937,422,419,21.3,20.6,11.1,36.6,36.5,60.7,69.9,41.3,5.75,38.2,7450000000,18000000,15900000,389,454000000,3340000,2160000,95.5,17300000,9.18E+13,94800,363000000,3280000,8900000,113,902,3050,3480,2300,2720,797,191,76.2
W,W920X368,W920X368,F,368,46800,932,930,419,419,20.3,20.6,11.1,34.3,34.9,58.4,66.7,41.3,6.11,40.1,6950000000,16900000,15000000,386,420000000,3110000,2020000,95,14400000,8.49E+13,94200,338000000,3060000,8340000,112,899,3050,3450,2280,2690,797,191,76.2
W,W920X344,W920X344,F,344,44000,927,927,419,419,19.3,19,9.52,32,31.8,56.1,65.1,39.7,6.54,42.2,6490000000,15800000,14000000,384,391000000,2880000,1870000,94.2,11900000,7.84E+13,93500,315000000,2870000,7800000,112,894,3050,3450,2270,2690,797,191,76.2
W,W920X576,W920X576,T,576,73500,993,994,323,324,36.1,36.5,19.1,65,65.1,84.1,96.8,49.2,2.48,22.9,11000000000,26400000,22300000,386,367000000,3670000,2280000,70.6,71600000,7.89E+13,74800,393000000,4330000,13100000,87.4,927,2840,3180,2310,2640,800,140,
W,W920X521,W920X521,T,521,66500,980,981,320,321,33,33.3,17.5,58.9,58.7,78,90.5,47.6,2.72,25,9820000000,23600000,20000000,384,325000000,3260000,2030000,69.9,53700000,6.90E+13,73500,348000000,3900000,11800000,86.6,922,2820,3150,2280,2590,800,140,
W,W920X474,W920X474,T,474,60300,970,972,315,314,30,30.2,15.9,54.1,54,73.2,85.7,46,2.91,27.5,8820000000,21300000,18200000,384,284000000,2880000,1800000,68.6,40900000,5.96E+13,72300,307000000,3540000,10600000,84.6,917,2790,3100,2260,2570,800,140,
