type,EDI_Std_Nomenclature,d,h,b,t,ro,ri,d,A,Ix,Iy,rx,ry,Sx,Sy,Avy,Avx,J,Jstv,Jwarp,Sj,Cw,Zx,Zy,W,Am
HSS,HSS152x76x4.8,152.4,152.4,76.2,4.8,9.6,4.8,133.3,2040,5960000,2020000,54.1,31.5,78200,52900,462,1310,4950000,15500,4934500,91790,591140000,98100,60500,16,0.441
HSS,HSS152x76x3.2,152.4,152.4,76.2,3.2,6.4,3.2,139.7,1390,4200000,1440000,55,32.2,55100,37700,314,879,3450000,4700,3445300,65110,415100000,68100,42200,10.9,0.446
HSS,HSS127x102x13,127,127,101.6,12.7,25.4,12.7,76.2,4750,9140000,6390000,43.9,36.7,144000,126000,1849,2609,13200000,255100,12944900,205470,170530000,188000,160000,37.3,0.414
HSS,HSS127x102x9.5,127,127,101.6,9.5,19.1,9.5,88.9,3760,7800000,5480000,45.6,38.2,123000,108000,1420,1996,10900000,113800,10786200,174120,148840000,155000,132000,29.5,0.424
HSS,HSS127x102x7.9,127,127,101.6,7.9,15.9,7.9,95.2,3220,6920000,4870000,46.4,38.9,109000,95900,1198,1682,9540000,67600,9472400,153940,131170000,135000,116000,25.3,0.43
HSS,HSS127x102x6.4,127,127,101.6,6.3,12.7,6.3,101.6,2640,5880000,4150000,47.2,39.7,92600,81700,970,1359,7970000,35500,7934500,130520,109740000,113000,96800,20.7,0.435
HSS,HSS127x102x4.8,127,127,101.6,4.8,9.6,4.8,107.9,2040,4690000,3320000,48,40.4,73800,65400,739,1032,6240000,15500,6224500,104010,85630000,88600,76100,16,0.441
HSS,HSS127x102x3.2,127,127,101.6,3.2,6.4,3.2,114.3,1390,3300000,2350000,48.8,41.1,52000,46200,499,691,4320000,4700,4315300,73290,58730000,61500,52900,10.9,0.446
HSS,HSS127x76x13,127,127,76.2,12.7,25.4,12.7,76.2,4100,7020000,3050000,41.4,27.3,111000,80000,1204,2681,7590000,220400,7369600,140150,346500000,151000,104000,32.2,0.363
HSS,HSS127x76x9.5,127,127,76.2,9.5,19.1,9.5,88.9,3280,6130000,2700000,43.3,28.7,96500,70800,938,2065,6500000,99200,6400800,122030,324260000,126000,87800,25.7,0.374
HSS,HSS127x76x7.9,127,127,76.2,7.9,15.9,7.9,95.2,2810,5490000,2430000,44.2,29.4,86400,63900,792,1742,5750000,59100,5690900,109230,295070000,111000,77300,22.1,0.379
HSS,HSS127x76x6.4,127,127,76.2,6.3,12.7,6.3,101.6,2320,4700000,2100000,45.1,30.1,74100,55200,646,1406,4860000,31100,4828900,93720,254550000,93400,65300,18.2,0.385
HSS,HSS127x76x4.8,127,127,76.2,4.8,9.6,4.8,107.9,1790,3780000,1710000,45.9,30.8,59600,44800,499,1070,3850000,13700,3836300,75530,204320000,73800,51800,14.1,0.39
HSS,HSS127x76x3.2,127,127,76.2,3.2,6.4,3.2,114.3,1230,2690000,1220000,46.8,31.6,42300,32100,336,722,2960000,4100,2955900,53810,143800000,51500,36300,9.7,0.395
HSS,HSS102x76x9.5,101.6,101.6,76.2,9.5,19.1,9.5,63.5,2790,3420000,2160000,35,27.8,67400,56600,1021,1586,4630000,84500,4545500,93760,58320000,87900,71600,21.9,0.323
HSS,HSS102x76x7.9,101.6,101.6,76.2,7.9,15.9,7.9,69.8,2410,3100000,1960000,35.9,28.5,61000,51500,861,1341,4120000,50600,4069400,84560,53830000,77800,63600,18.9,0.328
HSS,HSS102x76x6.4,101.6,101.6,76.2,6.3,12.7,6.3,76.2,1990,2690000,1710000,36.7,29.3,52900,44800,703,1089,3500000,26800,3473200,73070,46780000,66000,54000,15.6,0.334
HSS,HSS102x76x4.8,101.6,101.6,76.2,4.8,9.6,4.8,82.5,1550,2180000,1390000,37.5,30,43000,36600,534,825,2780000,11800,2768200,59280,37600000,52600,43100,12.2,0.339
HSS,HSS102x76x3.2,101.6,101.6,76.2,3.2,6.4,3.2,88.9,1060,1570000,1010000,38.4,30.7,30800,26400,367,560,1950000,3600,1946400,42510,26400000,37000,30400,8.3,0.345
HSS,HSS102x51x9.5,101.6,101.6,50.8,9.5,19.1,9.5,63.5,2310,2390000,762000,32.2,18.2,47100,30000,543,1624,2070000,69800,2000200,54150,92380000,65600,39200,18.1,0.272
HSS,HSS102x51x7.9,101.6,101.6,50.8,7.9,15.9,7.9,69.8,2010,2210000,714000,33.2,18.9,43600,28100,466,1379,1910000,42100,1867900,50230,91240000,58900,35500,15.8,0.278
HSS,HSS102x51x6.4,101.6,101.6,50.8,6.3,12.7,6.3,76.2,1670,1950000,640000,34.2,19.6,38500,25200,384,1120,1670000,22400,1647600,44540,83930000,50700,30800,13.1,0.283
HSS,HSS102x51x4.8,101.6,101.6,50.8,4.8,9.6,4.8,82.5,1310,1610000,537000,35.1,20.3,31800,21100,298,856,1360000,10000,1350000,37000,70790000,40800,25000,10.3,0.288
HSS,HSS102x51x3.2,101.6,101.6,50.8,3.2,6.4,3.2,88.9,903,1170000,397000,36.1,21,23100,15600,204,576,976000,3000,973000,27150,51810000,29000,17900,7.1,0.294
HSS,HSS89x64x6.4,88.9,88.9,63.5,6.3,12.7,6.3,63.5,1670,1650000,968000,31.4,24.1,37100,30500,568,949,2080000,22400,2057600,50470,27060000,47200,37300,13.1,0.283
